USERID,TEXT,DATE,COORD
6.03274E+17,#houstonflood #braysbayou #braeswood #meyerland #houston #texas #waterflowing @ Myerland Area https://t.co/iVoAF0KTDA,Tue May 26 18:57:06 +0000 2015,"[29.673929,-95.506577]"
6.03274E+17,#houstonflood http://t.co/G1lTMSYbj4,Tue May 26 18:59:50 +0000 2015,"[29.720331,-95.381979]"
6.03274E+17,#KPRC on the scene. #click2houston #braysbayou #braeswood #meyerland #houstonflood #houstonweather‚Ä¶ https://t.co/8WpX6lgqNQ,Tue May 26 19:00:07 +0000 2015,"[29.677471,-95.493903]"
6.0328E+17,"One more #Houstonflood post -- body of water just behind Alden is Allen Pkwy, my daily route to work‚Ä¶ https://t.co/JpPB9zQY3M",Tue May 26 19:22:58 +0000 2015,"[29.761612,-95.402626]"
6.0328E+17,Waiting on the next round of rain in style thanks to @uking3. #houstonflood #wine #patioflow @‚Ä¶ https://t.co/pk6720T3Pu,Tue May 26 19:23:44 +0000 2015,"[29.7629,-95.3832]"
6.03281E+17,When people from Texas deny climate change and then get flooded _üê_‚òïÔ_è #houstonflood,Tue May 26 19:27:34 +0000 2015,"[22.319897,114.185074]"
6.03282E+17,#houstonflood @ Brays Bayou https://t.co/MBUE285bUC,Tue May 26 19:28:14 +0000 2015,"[29.677131,-95.481756]"
6.03282E+17,"heh @CapitalFM_kenya: #Houston submerged as wild weather kills 20 in US, Mexico #houstonflood http://t.co/FwmaR7dAZm http://t.co/obH5YjeUkA",Tue May 26 19:30:40 +0000 2015,"[-1.315315,36.892604]"
6.03285E+17,Braes Bayou Trail @ South FWY/MacGregor Way #houstonflood #HoustonFlooding #HoustonFloods #houstonweather #htxflood http://t.co/xqnK3NyI0g,Tue May 26 19:41:17 +0000 2015,"[29.713449,-95.376218]"
6.03286E+17,Isn't that the super dome.... RT @astrosguy: Areas around Reliant Stadium completely under water. #houstonflood http://t.co/1Ljm2ywfR7,Tue May 26 19:45:37 +0000 2015,"[33.848014,-84.373528]"
6.03286E+17,#htxflood #houstonflood #houstonflooding #houstonfloods #southfwy #macgregorway @ South Fwy/MacGregor‚Ä¶ https://t.co/gnK1sNvwKC,Tue May 26 19:46:06 +0000 2015,"[29.713128,-95.379067]"
6.0329E+17,My backyard...This is normally a stream about 2ft across and 20 ft lower....yikes! #houstonflood‚Ä¶ https://t.co/kcTilgiw6n,Tue May 26 20:01:19 +0000 2015,"[29.478292,-95.608887]"
6.03221E+17,You shall not pass. #houstonflood @ Bear Creek Park https://t.co/Pz5HNv32FT,Tue May 26 15:27:31 +0000 2015,"[29.827666,-95.615199]"
6.03222E+17,Hwy 288 is a river. @ Houstonflood https://t.co/j6Zf1TCSOT,Tue May 26 15:29:58 +0000 2015,"[29.71317,-95.379228]"
6.03222E+17,Lake 288 #houstonflood @ Macgregor N &amp; 288 https://t.co/52ButvE8p9,Tue May 26 15:31:01 +0000 2015,"[29.71308,-95.379786]"
6.04466E+17,Nothing but Blue skies for miles. Survived my first Houston flooding! _üëç_üòÑ‚òÄÔ_è #houston #houstonflood‚Ä¶ https://t.co/SyRuq3iw26,Sat May 30 01:54:22 +0000 2015,"[29.761694,-95.379575]"
